Topic,Count,Name,Representation,Representative_Docs
60,114,60_disease_cardiovascular_heart_cardiovascular disease,"['disease', 'cardiovascular', 'heart', 'cardiovascular disease', 'diabetes', 'cvd', 'reactivity', 'type diabetes', 'hr', 'autonomic', 'cardiovascular reactivity', 'lifestyle']","['cardiovascular disease adulthood danish examine development cardiovascular disease cvd age specifically focusing ischaemic heart disease cerebrovascular disease register bear denmark january december alive resident denmark without cvd congenital heart disease total cox proportional hazard aalen additive hazard estimate adjust hazard hr adjust hazard difference cvd age five trajectory experience age develop cvd th birthday december experienced experience severe somatic illness death family men adjust hr woman experience men woman develop cvd correspond extra cvd person-years expose develop cvd young adulthood exposure suggest intervention target social origin provide support affect family long-term cardio-protective cardiovascular disease ischaemic heart disease cerebrovascular disease adverse experience young adulthood heart-disease experience mortality predictor allostasis burden', 'cardiovascular disease case-control introduction phenomenon elicit response certain trigger external internal identify various disease cardiovascular disease find cardiovascular disease local set case-control conduct tertiary care pakistan june december hundred seventeen myocardial infarction unstable angina enrol hundred ten attendant enrol control cardiovascular event history social isolation marital work important cardiovascular disease often overlook effort make question history-taking cardiovascular event management plan counsel pakistan cardiovascular disease myocardial infarction coronary-heart-disease accelerate atherosclerosis myocardial-infarction impact', 'oxytocin system cardiovascular disease today establish lead cardiovascular programming manifest cardiovascular disease mechanism occur fully understood perspective examines relevant implicates dysregulation gasomediator hydrogen sulfide neuroendocrine oxytocin system heart disease putative mechanistic role developmental origins cardiovascular disease interesting hint towards mutual interaction hydrogen sulfide ot system identify regard connection central nervous cardiovascular system support role vagus nerve communication link heart stress-mediated cardiovascular disease hydrogen sulfide oxytocin oxytocin receptor cardiovascular disease cystathionine-gamma-lyase cystathionine beta-synthase mercaptopyruvate sulphurtransferase c-reactive protein improve cardiac-function heart-rate-variability nitric-oxide bioavailability decrease blood-pressure hydrogen-sulfide intranasal oxytocin sex-differences posttraumatic-stress oxidative']"
61,114,61_subjective wellbeing_subjective_satisfaction_hedonic,"['subjective wellbeing', 'subjective', 'satisfaction', 'hedonic', 'wellbeing resilience', 'resilience wellbeing', 'college', 'wellbeing young', 'leadership', 'financial', 'wellbeing adulthood', 'relational']","['neuroticism mediate well-being dwell volunteer backgroundprevious experience reduces subjective well-being adulthood neuroticism negatively subjective well-being interrelationship event neuroticism subjective well-being date methodsa volunteer provide response follow questionnaire experience survey neuroticism subscale shorten eysenck personality questionnaire-revised subjective well-being inventory path possible interrelationships parameter resultsthe subjective well-being indirect mediate neuroticism neuroticism negative positive change experience survey indirect neuroticism subjective well-being either negative positive change conclusionsthis demonstrate subjective social status neuroticism negative positive event subjective well-being path demonstrate mediating role neuroticism indirect subjective well-being subjective well-being neuroticism mediate path event depressive exposure personality victimization temperament', 'college student depressive mediation role subjective well-being moderation role resilience endure detrimental impact later well-being establish relationship depressive along potential protective insufficient context chinese college student depressive resilience subjective well-being collect survey conduct chinese student collect spss process reveal subjective well-being mediate relationship depressive college student direct indirect accounting respectively pathway process subjective well-being depressive moderate resilience whereby increase resilience correspond gradual escalation predictive power subjective well-being depressive indicates positively predict depressive college student directly predict depressive mediating subjective well-being elevate resilience subjective well-being college student mitigate depression promote well-being perspective positive present provide new perspective prevention depressive college student depressive subjective well-being resilience resource suicide experience validation attachment', 'subjective well-being veteran later endure investigate young later-life subjective well-being old veteran explore whether early-life parent-child relationship later-life social engagement serve moderator mediator respectively wave retirement veteran subjective well-being depressive self-rated satisfaction linear regression process macro employ estimate relationship adverse experience ace positively depressive negatively satisfaction combat exposure young adulthood experience positively depressive self-rated satisfaction later-life social engagement mediate relationship ace subjective well-being index parent-child relationship quality moderate subjective well-being discussion combat exposure bad later subjective well-being later-life social engagement mediate subjective well-being future examine subjective well-being veteran employ detailed information combat exposure depression satisfaction self-rated military service posttraumatic-stress-disorder national-guard soldier combat exposure experience social relationship span perspective ptsd']"
62,113,62_mindfulness_satisfaction_couple_relationship satisfaction,"['mindfulness', 'satisfaction', 'couple', 'relationship satisfaction', 'relationship quality', 'romantic', 'romantic relationship', 'marital', 'dyadic', 'dispositional', 'marital quality', 'mindfulnessbased']","['pathway quality intimate relationship inquiry mindfulness posttraumatic attribution link quality intimate relationship adulthood pathway consider less focus process extend influence couple relationship additionally role mindfulness process romantic relationship remain understudied survivor current examine mindfulness posttraumatic attribution sequential serial mediational linking relationship quality recruit online structural equation model indirect relationship quality posttraumatic attribution sequential indirect relationship quality mindfulness posttraumatic current indicate process contribute relationship quality mindfulness resilience reduce posttraumatic clinician encourage mindfulness-based intervention reduce posttraumatic consider role attributional process attribution posttraumatic mindfulness relationship quality negative style sexual-abuse romantic relationship relationship satisfaction interpersonal depressive marital attachment style marriage history', 'relationship satisfaction parent dyadic perspective role mindfulness experiential avoidance objectiveschildhood cumulative cct consistently relationship dissatisfaction adulthood parenthood challenge context partner vulnerability cct history tend exacerbate decrease relationship satisfaction dyadic lack mechanism underlie coparents remain unclear increase body support dispositional mindfulness explanatory mechanism relationship negatively link cct relationship satisfaction experiential avoidance maladaptive self-regulatory strategy commonly cct survivor look promise explain coparents mindfulness brings relational dissatisfaction empirical highlight mindfulness predictor experiential avoidance turn relationship dissatisfaction dyadic perspective aim whether cct relationship satisfaction serially mediate mindfulness experiential avoidance couple follow birth methoda randomly select parental couple complete self-report questionnaire point apart path actor-partner interdependence perform resultspath serial mediation cct relationship satisfaction sequentially mindfulness experiential avoidance accounting relationship satisfaction structural path indirect confirmed partner interinfluences conclusionsfindings suggest mindfulness experiential avoidance key explore parental couple face relationship issue preregistrationthis preregistered parenting relationship satisfaction mindfulness avoidance romantic relationship satisfaction sexual-abuse marital satisfaction relationship quality cumulative psychometric property affect dysregulation depressive emotion regulation couple adjustment', 'cumulative couple satisfaction examine mediate role mindfulness cumulative cct survivor suffer interpersonal problem couple dissatisfaction dispositional mindfulness increasingly propose potential explanatory mechanism post-traumatic symptomatology document predictor couple satisfaction operationalize mindfulness multidimensional disposition comprise five facet describe observe non-judgment inner experience non-reactivity act awareness role facet link cct couple satisfaction yet understood aim mindfulness potential mediator relationship cct couple satisfaction examine distinctive contribution mindfulness facet mediation complete couple satisfaction mindfulness exposure eight type experience path reveal mindfulness mediate relationship cct couple satisfaction precisely mindfulness facet act specific mediator namely describe non-judgment inner experience final integrative explain variance couple satisfaction suggest mindfulness meaningful mechanism link cct couple satisfaction highlight description inner experience non-judgmental attitude experience act key component understand influence cct couple satisfaction cumulative mindfulness act awareness non-judgement observe describe non-reactivity couple satisfaction romantic relationship satisfaction dyadic adjustment dispositional mindfulness relationship education affect dysregulation depressive marital reduction survivor sexual-abuse']"
63,110,63_executive_executive function_ef_work memory,"['executive', 'executive function', 'ef', 'work memory', 'performance', 'memory', 'deficit', 'task', 'flexibility', 'neuropsychological', 'inhibition', 'speed']","['examine effectiveness trauma-focused executive function impact often demonstrate executive function difficulty negatively affect self-regulation potentiate psychopathology functional impairment evidence-based traumatize trauma-focused tf-cbt equip directly skills effective self-regulation improve executive function sensitive executive function development intervention aim improve executive function confer great benefit relative school-aged examined executive function improvement tf-cbt potential difference current examine change caregiver-reported executive function difficulty tf-cbt age age set racially ethnically diverse interpersonal history caregiver enrol community-based effectiveness tf-cbt urban set caregiver executive function pre mid posttreatment assessment demonstrate reduction global executive function difficulty tf-cbt improvement see domain attentional problem solve large sizes follow-up indicated executive function improvement positively ptsd reduction add grow effectiveness tf-cbt highlight caregiver-reported executive function potential target tfcbt executive function ptsd trauma-focused ptsd posttraumatic-stress skill hot', 'current posttraumatic mediate relationship adverse experience executive function adverse experience ace posttraumatic ptsd performance executive function task evaluate ace posttraumatic pt executive function difficulty conjunction online micropayment service current whether pt mediate relationship ace executive function sd administer ace ptsd checklist dsm pcl executive function efi ace great pt severity beta bad self-rated executive function beta control ace current pt severity worse executive function beta bootstrapped ci indicate indirect beta ci current pt mediate relationship ace executive function suggest intervention target pt context history concurrently improve executive function executive function adverse experience ace stressor ptsd posttraumatic developmental traumatology inhibitory sexual-abuse neuropsychological function college-students ptsd', 'executive function victim multi-informant comparative examine executive function limit yet exposure situation young change prefrontal cortex host executive function wesarg function crucial social adaptation make possible inhibit maladaptive respond flexibly demand environment middle sensitive development self-regulatory ability explore executive function school-age provide potential target dajani uddin multiple informant executive function sexually non-sexually victimized examine whether difference moderate consisted history csa without history csa complete executive func-tioning task measure flexibility inhibition parent teacher complete questionnaire evaluate executive function non-abused history csa display great executive function difficulty informant-reported questionnaire self complete task interaction find csa predict inhi-bition executive function boys girls step understand csa executive function offer clear picture differential impact accord executive function flexibility set-shifting inhibitory inhibition flexibility emotion regulation maltreat readiness perspective']"
64,108,64_csam_material csam_pornography_enforcement,"['csam', 'material csam', 'pornography', 'enforcement', 'law enforcement', 'law', 'technology', 'digital', 'exploitation', 'content', 'platform', 'user']","['internet tech company government agent future fight online proliferation material csam commonly refer pornography problem massive missing exploit ncmec private nonprofit specially authorized congress serve nation clearinghouse csam imagery work law enforcement locate perpetrator victim ncmec receive sixty-nine million csam many tech platform like google facebook proliferation csam online part attribute under-regulation tech platform silicon valley giant like facebook devote resource problem effort limit flaw consider resource direct role spread csam tech companies-even large ones-do little proactively combat current legal framework require little example tech company actually look csam require csam ncmec become aware even content optional section communication decency act shield tech company legal liability even people service distribute store csam legal protection disincentivizes company look csam invest technology improve exist effort problem propose earn act-the note-aims address earn act induce tech company actively help detect csam enforce csam law act create commission appoint congress chair attorney task develop best practice reduce csam host tech company server commission best practice cover everything content moderator train tip line report government-approved photo-matching software content company term service commission recommendation technically voluntary act strongly incentivizes compliance strip tech platform section protection thereby expose flood costly csam-related litigation avoid sue company effectively choice comply commission recommendation endorse justice work proactively detect csam prevent spread online note argue earn act similar legislation despite worthy goal implicate fourth amendment potentially trouble way raise important question fourth amendment applicability social medium constitution normally apply private entity argue act convert tech company government agents-active law enforcement search user photo video count government action fourth amendment support supreme court precedent recent law pathmarking opinion judge neil gorsuch context detailed look facebook current approach csam rely original interview facebook content moderator lead computer scientist field conclude earn act implicate fourth amendment coerce tech company conduct search csam behalf government consider whether search actually violate fourth amendment identify way court approve search third-party doctrine analogy drug sniff dog conclude earn act likely constitutional scheme raise important constitutional question represent major shift relationship tech company federal government suggest congress legislate digital privacy broadly earn act strong bipartisan support reason pas likely similar bill president joe biden repeatedly express desire strip tech company section protection prominent republican democrat echo sentiment indeed president trump sign bill law target section much way earn act albeit focus traffic note relevant earn act future bill aim csam section search', 'view material anonymous survey internet user material csam detect online platform dramatically last decade suggest engage progression typical pornography atypical pornography bondage discipline sadism masochism bdsm bestiality csam examine onset pornography csam help identify point prevention disruption investigate exposure pornography csam anonymously survey five different survey self-reported viewing csam identify another majority respondents view csam bdsm pornography bestiality pornography expose material prior likely content young age young exposure typical atypical pornography predict young exposure csam respondent likely csam young age self-reported csam viewer predominantly discover csam unintentionally alone suggest need intervention prevent exposure csam illegal content exploitation material pornography onset exposure prevention pornography consumption offender', 'discover material creator behavior preference dark produce distribute discuss material csam often commit dark stay hide search engine evade detection law enforcement agency additionally dark csam creator employ various technique avoid detection conceal activity large csam dark present global social problem pose challenge helplines hotlines law enforcement agency identify csam discussion dark uncover metadata insight characteristic behavior motivation csam creator set conducted post generate distinct user write different language eight dark forum post write english contribute around unique user propose csam detection intelligence system system use manually label dataset train evaluate select efficient csam classification identify csam creator victim csam post dark proceed analyse visualize uncover information concern behavior csam creator victim csam classifier support vector machine exhibit good performance achieve high precision accuracy naive bayes combination best term recall achieve eight forum support vector machine detect around english csam post identify near english csam creator metadata csam post reveal meaningful information csam creator victim social medium platform topic interest prefer social medium platform active csam creator example top creator interested topic like video webcam content forum frequently platform like omegle skype information age nationality victim typically mention csam creator victim nationality british russian social medium platform prefer csam creator share uploading csam omegle youtube skype instagram telegram material forum artificial intelligence victim abuser pornography']"
65,105,65_ct_schizophrenia_psychosis_relationship ct,"['ct', 'schizophrenia', 'psychosis', 'relationship ct', 'fep', 'lifestyle', 'cortical', 'antipsychotic', 'thickness', 'hc', 'cortical thickness', 'schizophrenia spectrum']","['pattern co-occurrence predictivity suicidality machine learn approach ct concern relationship different ct pattern suicidality remain undiscovered current identify distinct ct overlap pattern explore suicidality comprehensive multivariable context young ct experience ct overlap pattern identify high high ct gaussian mixture random forest predict suicidality ct pattern alongside comprehensive predictor shapley additive explanation shap ct overlap pattern emerge sixth important predictor predictivity ct pattern suicidality non-suicidal self-injury nssi depression anxiety post-traumatic ptsd obsessive-compulsory ocd self-compassion emphasize study relationship ct pattern suicidality comprehensive multivariable approach poly-victimization self validation loneliness depression', 'development personality belief intelligence cross-sectional personality pd personality beliefs pb ct intelligence ei effective development pds relationship ct ei pbs know examined ct ei pbs hundred eighty-seven student applied psychiatry clinic receive accord statistical manual fifth edition dsm criterion recruit applied baron intelligence personality belief questionnaire-short form volunteer accord subscale divide ct without ct evaluate spss ver program ei pb ct ct find positive relationship ct ei pb ct ct ei predict paranoid schizoid antisocial borderline narcissistic histrionic dependent avoidant passive-aggressive pb obsessive-compulsive pb subtypes predict pbs ct ei-stress management subscale link borderline histrionic avoidant passive-aggressive pb adaptability subscale link dependent pb provide important contribution regard ct ei affect pb give impact ct pb program focus promote personality belief relationship experience professional psychotherapist integrate ei-based emotion-focused intervention work history approach dialectical trauma-informed cognitive-behavioral useful improve ei relational functioning survivor registration register id nct intelligence personality beliefs dysfunctional belief posttraumatic growth psychopathy reliability validity', 'distinct cortical thickness correlate exposure posttraumatic share interpersonal violence exposure elt exposure posttraumatic ptsd affect neural structure predict variety concern throughout lifespan present differently identify relationship elt ptsd development structure cortical thickness ct ct reveal previously obscure alteration potentially clinically relevant identify specific structural correlate distinct elt ptsd hundred fifty-three survivor interpersonal violence non-trauma-exposed demographically match underwent structural mri different site image process ct estimate freesurfer vertex-wise linear test conduct cortical surface investigate whether ptsd elt exposure uniquely affect ct control scanner site plan follow-up test second-level ct cluster ptsd elt ct middle cingulate cortex inversely elt elt demonstrate less ct additionally ct great bilateral intraparietal sulcus leave angular gyrus ptsd ct cluster severity ptsd provide distinct ct correlate elt ptsd present suggest consistent marker elt ptsd gray matter structure trauma-exposed learning-mechanisms negative affect working-memory ptsd abnormality reliability checklist']"
66,103,66_aud_drinking_drink_alcoholrelated,"['aud', 'drinking', 'drink', 'alcoholrelated', 'consumption', 'alcohol consumption', 'alcohol problem', 'alcohol misuse', 'fasd', 'problematic alcohol', 'dependence', 'misuse']","['affect habitual alcohol drinker adverse experience range mistreatment alcohol dependence adulthood alcohol yet clearly demonstrated potential impact everyday drinking alcohol consumer alcohol aud examine whether history differential rating affect desire drink typical alcohol consumption moderate heavy drinker without aud parent generate recruit healthy albeit moderate heavy alcohol user fell alcohol alcoholism niaaa classification low-risk drinking ctq response collect real-time survey collect natural environment every hour iphones equip study-created application probe affect desire alcohol typical drinking routine brief impose abstinence thirty-six average consuming average drink participate ctq response moderate sd sd multilevel model reveal affect rating report alcohol consumption affect desire alcohol interaction rating benefit observe follow drinking affect desire alcohol reduce suggest moderate heavy healthy daily drinker history great experience poor mood daily basis small improvement experience drink alcohol moderate heavy daily drinker without aud great experience poor mood daily basis small improvement affect desire follow drink alcohol less alcohol consumption affect ecological momentary ecological momentary emerge negative affect mental-health social substance experience consumption', 'alcohol consumption impact serum immunoglobulin alcohol backgroundalcohol aud detrimental immune regulation immunoglobulin key biomarkers adaptive immune system selectively target heavy alcohol consumption investigate relationship alcohol drink history circulate immunoglobulin iga immunoglobulin igg immunoglobulin igm aud methodsusing linear regression multiple drink drink ctq evaluate relation immunoglobulin treatment-seeking admit underwent battery laboratory assessment resultsanalyses positive alcohol consumption iga negative igg negative substance alcohol iga anxiety igg conclusionheavy alcohol drinking elevate iga potential alcohol-associated liver disease hand igg indicative broad immune dysfunction take together change immunoglobulin valuable marker link alcohol consumption immune disease progression alcohol immune immunoglobulin racial disparity iga reactivity dependence inflammation experience exposure smoke history', 'role negative affect alcohol misuse alcohol woman recent indicates unite state face crisis alcohol misuse alcohol aud fuel part dramatic rise binge heavy drinking aud woman historically alcohol misuse aud prevalent men woman recent past decade increase aud substantially binge heavy drinking aud woman men paper address key role negative affect mood anxiety difference presentation contribution alcohol misuse escalation binge heavy drinking transition aud woman examine potential central peripheral biological mechanism stressor experience chronic states-including depression anxiety-may facilitate differential pathway alcohol misuse escalation transition aud woman finally paper discuss major gap difference area need great specific pathway alcohol misuse transition aud support comprehensive understanding aud etiology development new strategy prevention alcohol misuse aud woman girl woman difference alcohol crave prenatal cocaine exposure substance gray-matter age-of-onset gender-differences sex-differences cue reactivity drug-use dependence drinking']"
67,100,67_alexithymia_toronto_toronto alexithymia_ta,"['alexithymia', 'toronto', 'toronto alexithymia', 'ta', 'feeling', 'alexithymia ta', 'difficulty identify', 'somatic', 'identify feeling', 'dissociation', 'attachment', 'insomnia']","['alexithymia student cross-sectional saudi arabia alexithymia student king saud ksu riyadh kingdom saudi arabia cross-sectional conduct ksu student college fifth electronic distribute august consist sociodemographic-related question item toronto alexithymia validate alexithymia find statistically alexithymia find condition history lack activity alexithymia alexithymia student ksu literature indicated condition history lack activity alexithymia recommend increase awareness screen alexithymia student', 'alexithymia maltreat meta-analysis maltreat deficit emotion recognition expression understand goal current meta-analysis determine degree deficit ability recognize emotion phenomenon know alexithymia alexithymia mechanism explain various meta-analytic examined experience alexithymia adulthood additional meta-analyses run examine strength alexithymia vary function type moderator find small size indicate alexithymia alexithymia strongly form sizes percentage suggest examine whether alexithymia transdiagnostic mechanism psychopathology whether target alexithymia reduce wide range alexithymia meta-analysis mediating role emotion psychopathology bias socialization moderator', 'understand influence challenge alexithymia comparative offender experience adverse experience ace likely display alexithymia prone engage criminal behavior relationship ace alexithymia compare offender ace alexithymia predictor alexithymia comprise sex incarcerate respond sociodemographic adverse experience ace toronto alexithymia ta reveal positive correlation ace alexithymia offender reveal ace alexithymia additionally predictor alexithymia emphasize importance develop prevention strategy reduce ace alexithymia decrease adverse consequence must conduct understand good intricate interaction ace alexithymia criminal adverse experience alexithymia offender adverse experience developmental psychopathology reliability attachment']"
68,100,68_pregnancy_postpartum_perinatal_unintended,"['pregnancy', 'postpartum', 'perinatal', 'unintended', 'teenage pregnancy', 'unintended pregnancy', 'pregnant', 'teenage', 'postpartum depression', 'ppd', 'prenatal', 'pregnant woman']","['depressive unintended pregnancy role emotion regulation difficulty experience unintended pregnancy develop depressive regardless whether pregnancy terminate carried term knowledge vulnerable unintended pregnancy potential mechanism change scarce investigate whether unintended pregnancy abortion delivery whether difficulty emotion regulation contribute depressive beyond welch t-tests chi-square-tests hierarchical regression conduct experienced great depressive df likely fulfill criterion depressive episode onset pregnancy chi df unique contribution depressive unique contribution difficulty emotion regulation depressive limitation limitation cross-sectional design self-selected unintended pregnancy impede comparison intend pregnancy specifically vulnerable develop depressive unintended pregnancy preventive intervention identify provide individualized support possible emotion regulation promise target reduce depressive unintended pregnancy depression unwanted pregnancy postpartum abortion woman st pregnancy mental-health validation anxiety abortion version', 'maternal pregnancy intention predictor pregnancy happiness nearly half pregnancy classify unintended unplanned mistime unwanted link numerous adverse consequence maternal recent suggest happiness pregnancy often well predictor maternal infant pregnancy intention examine maternal predictor pregnancy happiness clinic-based pregnant woman apply multiple regression examine maternal adverse experience pregnancy happiness moderate role pregnancy intention woman pregnancy unplanned mistime unwanted pregnancy happiness woman less intended pregnancy pregnancy intention moderate relationship maternal adverse experience pregnancy happiness suggest pregnancy happiness mother history pregnancy classify unplanned mistime unwanted understanding impact pregnancy happiness critical inform prenatal practice policy care history pregnancy happiness adverse experience intention unintended pregnancy attitude unintended pregnancy social support depressive national-survey united-states infant experience woman', 'violence unintended pregnancy girl young woman south africa backgroundunintended pregnancy dire consequence socioeconomic wellbeing girl young woman agyw tend focus lack access contraceptive information service poverty main contribute early-unintended pregnancy influence violence receive limited attention understand link violence unintended pregnancy critical towards develop multifaceted reduce unintended pregnancy agyw south africa teenage pregnancy estimate magnitude unintended pregnancy agyw examine violence unintended pregnancy methodsour adopt cross-sectional design obtain agyw south african june november final girl select stratify sample adjust unadjusted logistic regression examine violence unintended pregnancy resultsthe respondent experience unintended pregnancy unintended pregnancy end abortion unintended pregnancy survivor violence never experience multivariable violence consistently robustly unintended pregnancy aor ci conclusionour find huge magnitude unintended pregnancy agyw violence important predictor unintended pregnancy address unintended pregnancy agyw south africa require intervention increase access contraceptive information service reduce violence cater survivor unintended pregnancy unplanned pregnancy survivor violence contraception young woman abortion intimate partner violence sub-saharan africa unplanned pregnancy unwanted pregnancy contraceptive predictor impact']"
69,98,69_prevention program_schoolbased_skill_curriculum,"['prevention program', 'schoolbased', 'skill', 'curriculum', 'implementation', 'effectiveness', 'safety', 'posttest', 'prevention education', 'knowledge skill', 'touch', 'train']","['implementation universal school-based prevention program csa problem considerable magnitude prevail primary prevention strategy universal school-based csa prevention program designate evidence-based safe touch reach impact potential effective universal school-based csa prevention program require effective efficient dissemination implementation strategy demonstrate reach effectiveness school-based csa prevention curriculum safe touch implement wide design grade classroom elementary five county receive safe touch workshop complete survey design gain knowledge four timepoints prior immediately post-workshop post-workshop safe touch workshop deliver classroom district reach similar grader multilevel reveal safe touch csa-related knowledge gain maintain post-workshop p small time-varying great income minority student disappear post workshop demonstrate single-session universal school-based csa prevention program effectively increase knowledge implement disseminated wide knowledge gain retain post prevention implementation reach effectiveness knowledge education etiology', 'empower elementary middle speak safe advance prevention universal school-based curriculum global problem school-based universal prevention program speak safe sub curriculum effective solution help address violence randomize employed pre post six-month follow-up design student kindergarten grade age survey efficacy curriculum increase student knowledge safety rule self-protection strategy explore difference follow-up condition grade covariance control pre-survey sub follow-up student student learn new knowledge skill act upon identify keep others safe policy decision maker know prevention program sub implement universally cost deliver essential evidence-based safety curriculum protect student prevention evidence-based safety curriculum universal prevention program bully sexual-abuse program', 'learn protect mika teacher-based prevention program turkey aim explore effectiveness teacher-based prevention program entitle learn protect mika consisted parent classroom teacher randomly assign wait-list classroom range sd prevention program program consist five module awareness good touch-bad touch body safety rule investigate effectiveness prevention program latent markov conduct three-class solution identify best status self-protecting status risky secret keeper status follow member at-risk status likely move status receive wait-list self-protection skill anova repeat increase self-protection skill great wait-list pre-test post-test two-month follow-up gain knowledge skill maintain program consider potential approach meet need preventive effort turkish preschool curriculum prevention program teacher implementation preschool school-based program self-protection skill personal safety skill national-survey young-children victimization']"
70,97,70_ptg_heal_inquiry_recovery,"['ptg', 'heal', 'inquiry', 'recovery', 'growth', 'posttraumatic growth', 'redress', 'theme', 'narrative', 'survivor experience', 'qualitative', 'incest']","['posttraumatic growth demographic characteristic posttraumatic type focus violence posttraumatic growth ptg multiple type demographic characteristic education examine ptg posttraumatic ptsd characteristic predictor ptg violence phone survey conduct nationally representative icelandic experience form experience violence interpersonal violence domestic violence high ptg moderate ptsd high ptg low-level ptsd less ptg woman ptg men survivor violence ptg form exposure violence survivor demographic ptg cumulative positive social reaction ptg highlight personal growth aversive experience suggest curvilinear ptg ptsd survivor assault predictor disclosure', 'religious spiritual meaning-making posttraumatic growth religion spirituality broadly positive impact instance religious spiritual context remain under-researched scoping elucidate experience navigate find mean foster posttraumatic growth ptg conduct scoping guide select predefined inclusion exclusion criterion synthesize reveal follow central theme recognize relay story redefine spirituality survivor often face disbelief stigma hinder ability process experience narrative share enables many reclaim agency heal validation integration narrative story additionally survivor often transform spirituality shift rigid framework nuanced flexible understanding divine self underscore importance trauma-informed spiritually sensitive approach validate survivor experience facilitate narrative share support spiritual redefining future must address knowledge gap development improve tool exploration effective strategy unify term well support survivor heal journey promote meaning-making ptg aftermath religious spiritual meaning-making spirituality posttraumatic growth sexual-abuse spirituality', 'survivor live experience posttraumatic growth institutional interpretative phenomenological institutional ica represent chronic severe form host adverse suggest survivor experience positive change institutional examine live experience posttraumatic growth ptg survivor institutional set nine survivor historical institutional ireland range semi-structured interview conduct explore survivor experience positive change institutional upbringing analysed tradition interpretative phenomenological ipa yield superordinate theme major theme survivor identity describe subjective understanding survivorship five subthemes major theme engender growth comprise seven subthemes collectively identify key process positive change posttraumatic growth early-life underscore importance support survivor construct comprehensive self-narrative identifies personal strength growthful experience acknowledge continued distress unique survivorship trajectory institutional posttraumatic growth survivor qualitative interpretative phenomenological survivor positive change altruism bear sexual-abuse woman impact men']"
71,97,71_domestic_domestic violence_dv_witness domestic,"['domestic', 'domestic violence', 'dv', 'witness domestic', 'witness', 'coercive', 'experience domestic', 'victim domestic', 'exposure domestic', 'law', 'intimate partner', 'intimate']","['domestic violence covid pandemic bangladesh covid lockdown advent work home unprecedent event result multilayer multidimensional impact personal social occupational condition deteriorate financial crisis increase need stay home result domestic violence bangladesh domestic violence already prevalent lockdown stay-at-home order opportunity scope perpetrator domestic violence aim determine pattern domestic violence initial covid lockdown bangladesh perception domestic violence survivor regard care conduct cross-sectional web-based bangladeshi semistructured self-reported understand pattern domestic violence perception care august september disseminate different organizational website social medium organization provide domestic violence service ibm spss version ibm corporation find respondent face domestic violence point common type violence economical domestic violence type covid lockdown enforce believe domestic violence survivor need support respondent idea service available domestic violence survivor bangladesh avail service domestic violence well-known stressor direct impact burden domestic violence often underreported impact bangladesh burden problem covid crisis cry support obvious necessary provide information available support service telepsychiatry good option provide immediate support convenient cost-effective manner domestic violence covid violence bangladesh lockdown isolation anxiety telemental telepsychiatry web-based survey telepsychiatry woman', 'long-term impact domestic violence individuals-an empirical education satisfaction paper take china retirement survey charls long-term impact domestic violence experience four dimension injury violence negligent care witness domestic violence indicator system quantify domestic violence construct simultaneous equation self-evaluation satisfaction estimate seemingly unrelated regression start education satisfaction long-term impact domestic violence experience quantitatively provide empirical prevent cure domestic violence heal empirical follow experience domestic violence reduces educational achievement dimension injury violence negligent care witness domestic violence great negative impact educational achievement domestic violence reduces self-assessed satisfaction increase subjective complexity concealment domestic violence combine empirical paper propose countermeasure prevent domestic violence domestic violence educational achievement mental-health china exposure metaanalysis', 'address issue india domestic society domestic violence neither limit poor rich people color religion happen anyone live society distinguish personal detail person domestic violence bruise body wound remain forever heart painful experience many people dy due domestic violence come topic domestic violence think come mind woman suffer problem contrast men become victim domestic violence follow deal problem men face issue domestic violence conduct order understand pattern domestic violence towards man conduct go doctrinal various paper news certify websites take consideration like woman men become victim domestic violence law form protection men instance woman culprit men victim look trend domestic violence suggest recommendation application chance crime reduces towards men domestic violence victim neutral law']"
