model,topic,n_docs,model_top_terms,jaccard,overlap_count,token_hit_nps,npmi_mean,top_nps
nmf,15,99,"injury, fracture, pediatric, infant, emergency, head, suspect, skeletal",0.029411764705882353,1,6,-6.236627846007198,"the emergency, the this, who presented, with suspected, and setting, infants with, skull fractures, the most"
nmf,16,21,"anxiety, depression, depression anxiety, anxiety depression, depressive, depressive anxiety, generalize anxiety, distress",0.06060606060606061,2,11,-5.450454995239304,"and anxiety, and depression, the relationship, has been, the mediating, and depressive, this aimed, the this"
nmf,17,11,"psychotherapy, randomize, session, focused, trauma focused, emdr, cbt, effectiveness",0.0,0,2,-5.093279379977016,"randomized controlled, outpatients with, with depression, for parallel, parallel randomized, schema versus, versus usual, for outpatients"
nmf,18,91,"personality, bpd, borderline, borderline personality, trait, personality bpd, personality trait, feature",0.06060606060606061,2,9,-5.452296569313176,"borderline personality, with borderline, personality traits, the relationship, and borderline, bpd with, and healthy, the role"
nmf,19,266,"emotion, regulation, emotion regulation, difficulty, dysregulation, emotion dysregulation, regulation difficulty, regulation strategy",0.06060606060606061,2,7,-5.401858539733026,"emotion regulation, the relationship, and emotion, emotion dysregulation, the mediating, the present, regulation difficulties, the role"
nmf,20,110,"maternal, mother, pregnancy, infant, postpartum, prenatal, birth, perinatal",0.029411764705882353,1,11,-6.09297469924882,"and their, during pregnancy, and infant, the relationship, the maternal, the current, intergenerational transmission, this aimed"
nmf,21,82,"qualitative, interview, theme, semi, structured, semi structured, thematic, structured interview",0.0,0,2,-5.970711439953407,"interviews were, the experiences, the this, the present, were conducted, conducted with, was explore, little known"
nmf,22,288,"methylation, dna, dna methylation, epigenetic, gene, cpg, expression, receptor",0.09375,3,10,-5.929372379001231,"dna methylation, has been, gene expression, have been, receptor gene, hpa axis, glucocorticoid receptor, are with"
nmf,23,77,"substance, alcohol, drug, use, addiction, cannabis, sud, dependence",0.0,0,8,-5.914527762284658,"and substance, with substance, the relationship, and alcohol, the current, the development, the impact, with alcohol"
nmf,24,53,"covid, pandemic, covid pandemic, lockdown, impact covid, coronavirus, impact, increase",0.0,0,4,-5.344339085123506,"the pandemic, the impact, and during, this aimed, the lockdown, the present, the this, has been"
nmf,25,153,"validity, psychometric, reliability, psychometric property, property, item, version, internal",0.029411764705882353,1,9,-5.5567788621271745,"psychometric properties, the psychometric, the present, the this, and validation, and validity, and reliability, this aimed"
nmf,26,133,"nssi, self injury, injury, suicidal self, non suicidal, non, suicidal, injury nssi",0.0,0,7,-5.471914909949866,"and nssi, the mediating, with nssi, nonsuicidal nssi, the relationship, this aimed, the role, mediating role"
nmf,27,73,"social, social support, support, perceive, perceive social, role social, protective, loneliness",0.06060606060606061,2,8,-5.20801095571875,"social support, perceived social, the relationship, and social, the role, the mediating, role social, has been"
nmf,28,133,"student, college, college student, chinese, chinese college, undergraduate, student experience, china",0.029411764705882353,1,6,-5.467820726873171,"college students, the relationship, the mediating, chinese college, mediating role, the present, the this, the current"
nmf,29,39,"class, latent, latent class, profile, pattern, identify, distinct, latent profile",0.06060606060606061,2,6,-5.6493843734534845,"latent class, latent profile, this aimed, the relationship, the patterns, the impact, was conducted, and their"
nmf,30,18,"equation, structural equation, structural, equation model, model, indirect, sem, direct",0.029411764705882353,1,1,-4.844187086458591,"the mediating, structural equation, mediating role, the relationship, the developmental, and their, the this, the present"
nmf,31,132,"image, online, image based, based, technology, pornography, digital, ibsa",0.029411764705882353,1,6,-6.297312615855701,"sexually explicit, intimate images, this paper, and online, the present, social media, the internet, revenge porn"
nmf,32,82,"ci, aor, aor ci, logistic, adjust, logistic regression, regression, ci aor",0.029411764705882353,1,2,-5.774704028945693,"logistic regression, this aimed, was conducted, the this, the relationship, has been, and were, have been"
nmf,33,39,"black, racial, race, american, white, ethnic, disparity, discrimination",0.06060606060606061,2,10,-5.7332681266316525,"the united, united states, african american, racial ethnic, and ethnic, protective services, and race, states with"
nmf,34,123,"mdd, depressive, major depressive, major, depressive mdd, depression, major depression, antidepressant",0.06060606060606061,2,12,-5.648788865419498,"major depressive, with major, and healthy, the relationship, this aimed, mdd with, and with, the development"
nmf,35,138,"forensic, interview, question, forensic interview, interviewer, investigative, investigative interview, witness",0.0,0,9,-6.098090533034546,"forensic interviews, interviews with, the present, the current, investigative interviews, this examined, the impact, forensic interviewers"
nmf,36,20,"self, reported, self reported, report, harm, self harm, self report, self efficacy",0.0,0,0,0.0,"aimed examine, and after, suggests that, the present, and with, little known, for psychosis, from large"
nmf,37,207,"knowledge, program, prevention, education, attitude, teacher, prevention program, awareness",0.06060606060606061,2,10,-6.073675360731671,"csa prevention, the this, prevention program, the effectiveness, this aimed, and their, and attitudes, prevention programs"
nmf,38,59,"compassion, self compassion, self, shame, mindfulness, role self, criticism, self criticism",0.0,0,4,-5.732066121667971,"the mediating, the relationship, mediating role, this aimed, the present, has been, and depression, the underlying"
nmf,39,201,"inflammation, inflammatory, il, protein, immune, crp, reactive protein, reactive",0.0,0,7,-5.911017960719296,"has been, and inflammation, inflammatory markers, major depressive, the relationship, immune system, and inflammatory, the development"
nmf,40,62,"function, executive, memory, executive function, performance, cognition, work memory, impairment",0.029411764705882353,1,9,-5.6837122890446965,"executive function, executive functioning, working memory, and executive, executive functions, has been, and with, the present"
nmf,41,159,"eat, ed, nervosa, eating, anorexia, binge, anorexia nervosa, binge eat",0.06060606060606061,2,10,-5.516845707168557,"and eating, anorexia nervosa, with eating, the relationship, binge eating, with anorexia, has been, bulimia nervosa"
nmf,42,118,"young, people, young people, young adulthood, people experience, young woman, adulthood, experience young",0.029411764705882353,1,6,-5.633012228107096,"young people, and young, the this, who have, with young, for young, people with, this paper"
nmf,43,254,"attachment, style, attachment style, insecure, insecure attachment, anxious, relationship, attachment anxiety",0.09375,3,9,-5.52959781630912,"the relationship, insecure attachment, attachment styles, and attachment, the role, the mediating, the present, attachment style"
nmf,44,193,"church, catholic, catholic church, clergy, religious, priest, institutional, crisis",0.06060606060606061,2,11,-5.861880225165152,"catholic church, the catholic, the church, roman catholic, the crisis, the roman, has been, catholic clergy"
nmf,45,255,"sleep, quality, sleep quality, disturbance, sleep disturbance, insomnia, sleep problem, sleep duration",0.12903225806451613,4,10,-5.631616064865428,"and sleep, sleep quality, the relationship, sleep disturbances, sleep disturbance, has been, the role, sleep problems"
nmf,46,154,"being, well being, well, satisfaction, subjective well, subjective, impact, impact well",0.0,0,3,-6.023545492148826,"the relationship, the impact, the role, the mediating, has been, the current, adverse experiences, mediating role"
nmf,47,253,"matter, cortical, thickness, volume, gray, cortex, hippocampal, gray matter",0.09375,3,4,-5.7229925702525755,"white matter, and healthy, gray matter, major depressive, cortical thickness, have been, are with, magnetic resonance"
nmf,48,149,"dissociation, dissociative, dissociative experience, identity, experience, depersonalization, dissociative identity, amnesia",0.029411764705882353,1,6,-5.5758925523071445,"dissociative experiences, and dissociative, and dissociation, the relationship, the dissociative, dissociative identity, with dissociative, this aimed"
nmf,49,179,"cross, sectional, cross sectional, survey, sectional survey, design, conduct, sectional design",0.0,0,3,-5.952158300240832,"was conducted, this aimed, the this, the relationship, saudi arabia, workplace violence, were collected, and this"
nmf,50,115,"exposure, event, threat, deprivation, adulthood, cumulative, psychopathology, experience",0.0,0,7,-6.3139509641437765,"has been, and deprivation, the present, the impact, have been, the development, the current, and threat"
nmf,51,175,"cm, relationship cm, history cm, experience cm, type cm, cm experience, type, cm type",0.0,0,4,-6.143144485145193,"the relationship, the role, the impact, has been, and setting, the present, this aimed, the mediating"
nmf,52,237,"traumatic, post, post traumatic, ptsd, traumatic ptsd, complex post, traumatic growth, event",0.0,0,5,-6.064491221922954,"with ptsd, and ptsd, the relationship, the role, has been, this aimed, the present, for ptsd"
nmf,53,334,"offender, offend, offense, crime, csam, recidivism, material, commit",0.0,0,3,-6.563852164093994,"material csam, who have, the current, has been, the this, the present, have been, the relationship"
nmf,54,273,"internalize, externalize, problem, internalize externalize, externalize problem, psychopathology, internalize problem, externalize internalize",0.0,0,5,-5.697249772747185,"and externalizing, and internalizing, externalizing problems, the current, and their, the development, the present, the role"
nmf,55,358,"trauma, informed, trauma informed, informed care, care, approach, practice, informed approach",0.0,0,1,-6.729027257698313,"adverse experiences, the impact, the current, who have, have been, have experienced, this paper, has been"
nmf,56,287,"network, central, node, bridge, centrality, strength, network structure, social network",0.029411764705882353,1,5,-6.132894716402025,"network approach, the relationship, has been, the network, the present, the complex, this aimed, and network"
nmf,57,157,"sport, athlete, coach, athletes, harassment, elite, interpersonal, interpersonal violence",0.06060606060606061,2,10,-6.279553344415338,"the this, violence sport, interpersonal violence, elite athletes, have been, the relationship, young athletes, the present"
nmf,58,254,"pain, chronic, chronic pain, syndrome, pelvic, opioid, fibromyalgia, history",0.06060606060606061,2,7,-5.805713284046608,"chronic pain, with chronic, has been, the relationship, and chronic, adverse experiences, and pain, have been"
nmf,59,393,"genetic, gene, interaction, environment, polymorphism, gene environment, environment interaction, genotype",0.0,0,7,-6.21684375838801,"has been, and environmental, the relationship, the role, have been, and genetic, the development, the genetic"
nmf,60,530,"term, long, long term, consequence, term consequence, adulthood, short, impact",0.0,0,2,-6.635504549244591,"the impact, has been, maternal separation, have been, adverse experiences, the present, the development, the relationship"
nmf,61,528,"old, elder, status, socioeconomic, socioeconomic status, older, financial, economic",0.029411764705882353,1,3,-6.072385789774121,"and older, socioeconomic status, the relationship, adverse experiences, the this, this aimed, was conducted, and retirement"
nmf,62,565,"victim, perpetrator, assault, rape, disclosure, victim perpetrator, characteristic, perception",0.0,0,3,-6.562502894394819,"the this, the victim, has been, the victims, have been, and their, the current, the relationship"
nmf,63,393,"hiv, south, africa, live hiv, south africa, infection, live, adherence",0.029411764705882353,1,5,-6.037906918371079,"living with, south africa, who have, have with, people living, south african, sexually transmitted, intimate partner"
nmf,64,532,"up, follow up, follow, year, predictor, course, year follow, trajectory",0.0,0,0,0.0,"randomized controlled, has been, the this, the impact, and with, and were, have been, this aimed"
nmf,65,419,"justice, criminal, system, criminal justice, justice system, juvenile, legal, court",0.09375,3,6,-6.1363116032377825,"criminal justice, justice system, the criminal, has been, juvenile justice, have been, the current, the united"
nmf,66,246,"disability, intellectual, intellectual disability, people intellectual, people, sexuality, id, education",0.029411764705882353,1,11,-5.835368246720072,"with intellectual, people with, intellectual disabilities, intellectual disability, with disabilities, women with, for with, the this"
nmf,67,790,"narrative, medium, paper, theory, story, discourse, survivor, context",0.0,0,2,-6.204500127527313,"this paper, has been, the this, this examines, social media, have been, the current, the role"
nmf,68,331,"bipolar, bd, mood, bipolar bd, onset, rating, episode, ii",0.0,0,4,-5.609415513036703,"with bipolar, and bipolar, and healthy, major depressive, and with, the relationship, has been, this aimed"
nmf,69,484,"disease, cardiovascular, cardiovascular disease, heart, obesity, body, cvd, bmi",0.06060606060606061,2,5,-6.12301084072186,"cardiovascular disease, has been, adverse experiences, the relationship, and cardiovascular, body mass, have been, experiences aces"
nmf,70,215,"adhd, hyperactivity, deficit hyperactivity, deficit, attention deficit, attention, hyperactivity adhd, autism",0.12903225806451613,4,10,-5.85650698276525,"hyperactivity adhd, attention deficit, deficit hyperactivity, autism spectrum, the relationship, and with, the this, with adhd"
nmf,71,560,"resilience, protective, cop, positive, davidson, connor, davidson resilience, connor davidson",0.029411764705882353,1,6,-6.06252850540341,"and resilience, the relationship, adverse experiences, the role, this aimed, has been, the resilience, the impact"
nmf,72,328,"esteem, self esteem, self, rosenberg, rosenberg self, esteem self, negative, role self",0.0,0,3,-5.935419439692246,"the relationship, the mediating, the present, the this, this aimed, mediating role, the current, has been"
nmf,73,851,"woman, men, men woman, woman men, woman experience, gender, violence woman, difference",0.0,0,3,-6.208687437173801,"and women, women with, the relationship, the this, violence against, against women, intimate partner, has been"
nmf,74,838,"abuse, sexual, sexual abuse, type, different, health sexual, health, disorder sexual",0.0,0,1,-7.068342343630086,"the relationship, the current, has been, the present, the this, the role, and their, the impact"
nmf,75,219,"veteran, military, service, combat, military veteran, military service, personnel, deployment",0.06060606060606061,2,6,-5.891010304544998,"military veterans, posttraumatic ptsd, the current, have been, adverse experiences, and military, service members, and veterans"
nmf,76,420,"beta, beta ci, ci, beta beta, linear, linear regression, se, ci beta",0.0,0,2,-6.249469785628429,"the relationship, the mediating, adverse experiences, has been, mediating role, this aimed, the current, the present"
nmf,77,545,"care, foster, foster care, home, of home, placement, out of, welfare",0.06060606060606061,2,6,-6.517938583845453,"foster care, the this, primary care, have been, residential care, the impact, this aimed, the relationship"
nmf,78,236,"meta, meta analysis, analysis, search, database, size, analyses, meta analyses",0.0,0,0,-6.349826957432951,"the relationship, have been, the this, has been, adverse experiences, were searched, and with, this aimed"
nmf,79,169,"ocd, compulsive, obsessive, obsessive compulsive, compulsive ocd, severity, schema, inventory",0.029411764705882353,1,3,-6.082889345704754,"the relationship, this aimed, the present, and healthy, the development, has been, the this, and with"
kmeans,0,501,"development, psychopathology, emotion, experience, response, social, exposure, process",0.0,0,5,-6.704051618099122,"has been, the present, the development, the relationship, the current, the role, the impact, have been"
kmeans,1,334,"injury, fracture, infant, pediatric, head, emergency, suspect, skeletal",0.029411764705882353,1,5,-6.468192821358131,"the emergency, the this, and setting, the pediatric, the most, with suspected, who presented, have been"
kmeans,2,358,"violence, domestic, woman, domestic violence, partner, intimate, intimate partner, partner violence",0.09375,3,9,-5.899531341322327,"domestic violence, violence against, against women, intimate partner, and violence, partner violence, the this, and women"
kmeans,3,369,"offender, offend, criminal, crime, offense, justice, recidivism, csam",0.029411764705882353,1,6,-6.366037564167947,"who have, criminal justice, material csam, the current, the criminal, has been, justice system, have been"
kmeans,4,159,"csa, survivor, csa survivor, history csa, history, woman, experience, relationship",0.0,0,6,-5.859715647749421,"csa survivors, the relationship, the this, the impact, the role, csa with, has been, the current"
kmeans,5,393,"maternal separation, separation, maternal, rat, mouse, like, expression, ms",0.029411764705882353,1,5,-5.98425298684404,"maternal separation, has been, the development, prefrontal cortex, the present, and rats, have been, the maternal"
kmeans,6,143,"aor ci, aor, ci, ci aor, ethiopia, logistic, logistic regression, adjust",0.029411764705882353,1,2,-6.0454137095833556,"logistic regression, was conducted, the this, this aimed, the relationship, and with, adverse experiences, the adverse"
kmeans,7,207,"mdd, major depressive, major, depressive, depressive mdd, depression, ctq, healthy",0.06060606060606061,2,10,-5.546508145321451,"major depressive, with major, and healthy, this aimed, the relationship, major depression, and with, mdd with"
kmeans,8,193,"eat, ed, eating, nervosa, anorexia, anorexia nervosa, binge, binge eat",0.06060606060606061,2,11,-5.596959320466396,"and eating, anorexia nervosa, with eating, the relationship, binge eating, with anorexia, and with, disordered eating"
kmeans,9,239,"methylation, dna, dna methylation, gene, epigenetic, cpg, receptor, expression",0.029411764705882353,1,10,-5.796879643592284,"dna methylation, has been, have been, methylation dnam, gene expression, receptor gene, glucocorticoid receptor, the gene"
kmeans,10,283,"image, image based, online, technology, pornography, based, digital, victim",0.0,0,6,-6.35765496968944,"material csam, the internet, this paper, social media, sexually explicit, and social, has been, the online"
kmeans,11,286,"ace, adverse experience, adverse, ci, experience ace, experience, household, regression",0.029411764705882353,1,5,-5.346090139362229,"adverse experiences, experiences aces, the aces, the adverse, the relationship, are with, have been, aces have"
kmeans,12,185,"pain, chronic, chronic pain, fibromyalgia, pelvic, woman, syndrome, pelvic pain",0.09375,3,10,-5.828062644564633,"chronic pain, with chronic, and chronic, and pain, the relationship, has been, adverse experiences, women with"
kmeans,13,120,"disability, intellectual, intellectual disability, people intellectual, people, id, education, sexuality",0.029411764705882353,1,8,-5.127768985114989,"with intellectual, people with, intellectual disabilities, intellectual disability, with disabilities, for with, this paper, women with"
kmeans,14,216,"validity, psychometric, reliability, psychometric property, item, property, internal consistency, consistency",0.029411764705882353,1,9,-5.575284558481004,"psychometric properties, the psychometric, the this, and validation, and reliability, this aimed, has been, internal consistency"
kmeans,15,293,"elder, sectional, cross sectional, cross, violence, care, old, survey",0.029411764705882353,1,5,-6.481541814856922,"was conducted, this aimed, the this, and their, workplace violence, logistic regression, and with, has been"
kmeans,16,194,"dissociative, dissociation, dissociative experience, experience, identity, dissociative identity, ptsd, amnesia",0.029411764705882353,1,8,-5.5606666292812195,"dissociative experiences, and dissociative, and dissociation, the relationship, the dissociative, dissociative identity, with dissociative, this aimed"
kmeans,17,398,"ipv, partner, intimate partner, intimate, partner violence, violence, woman, violence ipv",0.09375,3,9,-5.789783779471744,"intimate partner, partner violence, and intimate, the relationship, the this, violence against, and women, against women"
kmeans,18,188,"cortisol, hpa, axis, hpa axis, pituitary, adrenal, pituitary adrenal, hypothalamic pituitary",0.06060606060606061,2,11,-5.833476612030205,"hpa axis, has been, and cortisol, hair cortisol, the relationship, adverse experiences, and healthy, the role"
kmeans,19,130,"esteem, self esteem, self, relationship, mediate, depression, social, rosenberg",0.029411764705882353,1,5,-5.9097743384865975,"the relationship, the mediating, mediating role, this aimed, the this, the present, social support, the impact"
kmeans,20,176,"externalize, internalize, internalize externalize, problem, externalize problem, internalize problem, psychopathology, parent",0.0,0,1,-5.721125596208225,"and externalizing, and internalizing, externalizing problems, the present, the current, and problems, internalizing problems, adverse experiences"
kmeans,21,276,"knowledge, student, attitude, teacher, education, professional, training, awareness",0.0,0,2,-6.48621795764488,"the this, was conducted, and their, and this, this aimed, attitudes toward, the knowledge, and attitudes"
kmeans,22,437,"ptsd, posttraumatic, traumatic, post traumatic, post, cptsd, exposure, posttraumatic ptsd",0.029411764705882353,1,9,-5.781033316550315,"posttraumatic ptsd, and ptsd, with ptsd, the relationship, and posttraumatic, has been, the present, complex ptsd"
kmeans,23,258,"attachment, style, attachment style, insecure, insecure attachment, relationship, attachment anxiety, anxious",0.06060606060606061,2,9,-5.515266767596059,"insecure attachment, the relationship, attachment styles, and attachment, the role, the mediating, role attachment, attachment style"
kmeans,24,281,"emotion, emotion regulation, regulation, difficulty, dysregulation, emotion dysregulation, regulation strategy, regulation difficulty",0.06060606060606061,2,9,-5.375143999651794,"emotion regulation, and emotion, the relationship, emotion dysregulation, regulation strategies, the role, the mediating, regulation difficulties"
kmeans,25,221,"inflammation, inflammatory, il, reactive protein, crp, protein, reactive, immune",0.0,0,7,-5.872406786662929,"has been, and inflammation, inflammatory markers, the relationship, systemic inflammation, and inflammatory, major depressive, have been"
kmeans,26,301,"matter, cortex, amygdala, cortical, thickness, image, volume, region",0.06060606060606061,2,7,-5.928135170394831,"magnetic resonance, white matter, have been, resonance imaging, cortical thickness, the impact, gray matter, has been"
kmeans,27,90,"nssi, self injury, injury, suicidal self, non suicidal, self, suicidal, injury nssi",0.0,0,8,-5.490603433682806,"nonsuicidal nssi, with nssi, and nssi, this aimed, the nssi, the role, nssi with, major depressive"
kmeans,28,165,"up, follow up, follow, depression, psychotherapy, randomize, self, depressive",0.0,0,5,-6.239264864260426,"randomized controlled, has been, the effectiveness, for with, the course, for depression, the impact, and were"
kmeans,29,253,"class, latent, latent class, profile, pattern, identify, latent profile, distinct",0.06060606060606061,2,5,-5.863619863069296,"latent class, latent profile, and their, the current, their with, the relationship, this aimed, known about"
kmeans,30,182,"csa, survivor, disclosure, qualitative, theme, csa survivor, experience, interview",0.0,0,3,-6.087040998074243,"csa survivors, the experiences, the current, has been, the present, interviews were, the this, were conducted"
kmeans,31,130,"axis, hpa, hpa axis, pituitary, cortisol, adrenal, pituitary adrenal, hypothalamic",0.029411764705882353,1,6,-6.095032973219134,"hpa axis, has been, have been, the axis, the development, maternal separation, are with, this aimed"
kmeans,32,295,"victim, perpetrator, rape, disclosure, violence, assault, survivor, disclose",0.0,0,5,-6.562625169050015,"has been, the this, the victim, the present, the victims, known about, the current, the perpetrator"
kmeans,33,194,"care, foster care, foster, welfare, of home, home, out of, home care",0.06060606060606061,2,5,-5.973929932132871,"foster care, young people, residential care, the welfare, the this, known about, this examined, welfare system"
kmeans,34,124,"trauma informed, informed, trauma, informed care, care, teacher, practice, informed practice",0.0,0,4,-6.408813513808426,"have experienced, and care, the impact, has been, the need, who have, the current, adverse experiences"
kmeans,35,189,"racial, black, race, american, disparity, white, ethnic, discrimination",0.09375,3,8,-6.125522987367085,"united states, the united, racial ethnic, adverse experiences, race ethnicity, has been, and ethnic, african american"
kmeans,36,263,"suicide, attempt, suicide attempt, suicidal, ideation, suicidal ideation, attempt suicide, ideation suicide",0.09375,3,13,-5.540757051821852,"suicide attempts, and suicide, suicide attempt, suicidal ideation, for suicide, and suicidal, with suicide, for suicidal"
kmeans,37,269,"maternal, pregnancy, mother, postpartum, infant, prenatal, woman, depression",0.029411764705882353,1,12,-6.080856947839421,"during pregnancy, pregnant women, and their, the role, the relationship, and postpartum, the maternal, and infant"
kmeans,38,212,"social support, support, social, perceive social, perceive, resilience, relationship, depression",0.06060606060606061,2,8,-5.408289426886608,"social support, perceived social, and social, the relationship, the mediating, the role, role social, has been"
kmeans,39,151,"covid, pandemic, covid pandemic, anxiety, depression, distress, impact, pandemic related",0.0,0,6,-5.771718253545956,"the pandemic, the impact, and during, adverse experiences, has been, the outbreak, the this, the current"
kmeans,40,350,"anxiety, depression, depression anxiety, anxiety depression, depressive, experience, self, psychopathology",0.06060606060606061,2,7,-5.7960017561137365,"and anxiety, and depression, the relationship, this aimed, depression anxiety, the current, and with, has been"
kmeans,41,68,"nssi, suicidal, self injury, suicide, suicidal self, non suicidal, injury, attempt",0.06060606060606061,2,12,-5.477353741442491,"suicidal ideation, suicide attempts, and suicide, suicide attempt, with nssi, the role, this aimed, and behaviors"
kmeans,42,196,"personality, trait, personality trait, traits, personality traits, neuroticism, psychopathy, inventory",0.029411764705882353,1,6,-5.7666370143838686,"personality traits, the relationship, and personality, the present, has been, the development, this aimed, the mediating"
kmeans,43,72,"ace, student, college, adverse experience, college student, adverse, experience ace, experience",0.029411764705882353,1,9,-5.05564210216775,"adverse experiences, experiences aces, college students, the relationship, the aces, relationship adverse, students adverse, relationship aces"
kmeans,44,133,"ipv, partner, violence, intimate partner, partner violence, intimate, woman, pregnancy",0.09375,3,10,-5.193474024736462,"intimate partner, partner violence, pregnant women, violence against, during pregnancy, against women, was conducted, domestic violence"
kmeans,45,499,"mouse, rat, early life, early, expression, life, el, receptor",0.0,0,4,-6.472471111651829,"has been, the development, the impact, maternal separation, have been, prefrontal cortex, the underlying, the present"
kmeans,46,265,"ipv, partner, intimate, intimate partner, partner violence, violence, perpetration, victimization",0.12903225806451613,4,11,-5.35358173422228,"intimate partner, partner violence, and intimate, ipv perpetration, adverse experiences, the relationship, ipv victimization, violence perpetration"
kmeans,47,158,"bd, bipolar, mood, bipolar bd, episode, depressive, onset, depression",0.029411764705882353,1,9,-5.718860212613319,"with bipolar, and bipolar, major depressive, the relationship, and healthy, and with, this aimed, aimed investigate"
kmeans,48,183,"well being, being, well, satisfaction, experience, resilience, relationship, support",0.0,0,4,-6.125277826421058,"the relationship, the impact, the role, adverse experiences, has been, this examined, the current, known about"
kmeans,49,167,"executive, executive function, function, memory, performance, work memory, deficit, ef",0.029411764705882353,1,5,-5.484991417751451,"executive function, and executive, executive functioning, executive functions, working memory, the relationship, adverse experiences, has been"
kmeans,50,215,"ptsd, posttraumatic, trauma focused, trauma, focused, session, emdr, randomize",0.0,0,7,-5.508623504675335,"posttraumatic ptsd, randomized controlled, with ptsd, the effectiveness, for ptsd, for with, eye movement, for posttraumatic"
kmeans,51,597,"qualitative, interview, theme, experience, service, care, support, professional",0.0,0,1,-6.188481830458894,"interviews were, interviews with, the this, this qualitative, who have, the experiences, and their, young people"
kmeans,52,224,"interview, question, forensic, forensic interview, interviewer, investigative, investigative interview, witness",0.029411764705882353,1,8,-6.252402150054736,"forensic interviews, interviews with, the present, the current, investigative interviews, this examined, the impact, the quality"
kmeans,53,452,"disease, adulthood, ci, age, socioeconomic, cardiovascular, experience, status",0.029411764705882353,1,5,-6.3776614801597615,"has been, are with, adverse experiences, the relationship, have been, and retirement, and whether, the development"
kmeans,54,130,"sport, athlete, coach, athletes, harassment, elite, violence, violence sport",0.06060606060606061,2,11,-6.200225405542402,"violence sport, the this, elite athletes, interpersonal violence, have been, the relationship, young athletes, the present"
kmeans,55,715,"narrative, woman, violence, work, social, discourse, paper, medium",0.0,0,5,-6.989012947732218,"this paper, has been, this examines, the united, the this, the most, have been, this essay"
kmeans,56,391,"parent, mother, parental, family, intergenerational, child, father, parenting",0.029411764705882353,1,7,-6.307726124698874,"and their, the relationship, the current, the intergenerational, has been, intergenerational transmission, the present, the role"
kmeans,57,213,"connectivity, functional, functional connectivity, network, resting state, resting, state functional, state",0.09375,3,11,-5.888762221069118,"functional connectivity, and functional, magnetic resonance, resonance imaging, functional magnetic, the relationship, the development, has been"
kmeans,58,342,"substance, alcohol, drug, use, addiction, cannabis, experience, woman",0.0,0,6,-6.004796990407736,"and substance, with substance, and alcohol, the this, the relationship, the current, have been, known about"
kmeans,59,413,"psychosis, schizophrenia, psychotic, episode, episode psychosis, first episode, experience, spectrum",0.029411764705882353,1,9,-5.754954645109866,"with psychosis, with schizophrenia, for psychosis, the relationship, and psychosis, and psychotic, has been, schizophrenia spectrum"
kmeans,60,198,"csa, victim, disclosure, perpetrator, prevention, offender, groom, characteristic",0.0,0,4,-6.58882364000403,"the current, the this, the present, and setting, has been, have been, the victim, csa victims"
kmeans,61,174,"prevention, program, knowledge, csa, parent, csa prevention, education, prevention program",0.06060606060606061,2,9,-5.972331837909601,"csa prevention, the effectiveness, prevention program, prevention programs, the this, was conducted, the prevention, this aimed"
kmeans,62,399,"mediate, relationship, mediation, role, mediate role, self, depression, chinese",0.029411764705882353,1,8,-5.588755774675018,"the relationship, the mediating, mediating role, the role, and depression, the present, has been, this aimed"
kmeans,63,43,"bpd, borderline, borderline personality, ptsd, personality, post traumatic, traumatic, personality bpd",0.029411764705882353,1,10,-5.26506348733826,"borderline personality, and borderline, posttraumatic ptsd, with borderline, with ptsd, complex ptsd, for ptsd, the criteria"
kmeans,64,81,"ace, maternal, pregnancy, adverse experience, adverse, maternal ace, mother, experience",0.0,0,9,-5.260326813933745,"adverse experiences, experiences aces, maternal adverse, and their, the maternal, pregnant women, during pregnancy, maternal aces"
kmeans,65,686,"care, experience, service, family, need, identify, history, prevention",0.0,0,3,-7.109244324296397,"the this, has been, have been, and with, the current, the relationship, and were, the most"
kmeans,66,147,"hiv, men, infection, msm, live hiv, men men, woman, substance",0.029411764705882353,1,4,-6.110572301656963,"living with, who have, have with, people living, hiv infection, south africa, sexually transmitted, immunodeficiency virus"
kmeans,67,220,"suicidal ideation, ideation, suicidal, suicide, si, depression, suicidality, thought",0.029411764705882353,1,11,-5.494053297579657,"suicidal ideation, and suicidal, the relationship, the mediating, with suicidal, and suicide, this aimed, the role"
kmeans,68,159,"covid, pandemic, covid pandemic, lockdown, violence, impact covid, impact, social",0.0,0,13,-5.942751195982676,"the pandemic, the impact, the coronavirus, and during, coronavirus disease, disease pandemic, the this, the lockdown"
kmeans,69,177,"church, catholic, catholic church, clergy, religious, priest, crisis, institutional",0.06060606060606061,2,11,-5.841065885174789,"catholic church, the catholic, the church, roman catholic, the crisis, has been, the roman, this paper"
kmeans,70,146,"sleep, sleep quality, sleep disturbance, disturbance, quality, insomnia, sleep problem, poor sleep",0.16666666666666666,5,11,-5.54302546679773,"and sleep, sleep quality, the relationship, sleep disturbance, sleep disturbances, sleep problems, pittsburgh sleep, the sleep"
kmeans,71,286,"victimization, violence, peer, bully, perpetration, date, date violence, peer victimization",0.06060606060606061,2,9,-6.105767708808793,"dating violence, the relationship, and victimization, the present, the current, the this, the role, peer victimization"
kmeans,72,216,"bpd, borderline, borderline personality, personality, personality bpd, feature, self, emotion",0.029411764705882353,1,9,-5.4157342976528575,"borderline personality, with borderline, and borderline, the relationship, has been, the role, the present, personality traits"
