topic,period,representative_words,mean_frequency
87,P3_post_pandemic,"schizophrenia, oxytocin, social functioning, plasma oxytocin, psychotic",9.5
87,P4_recent,"schizophrenia, sz, schizotypal, schizophrenia spectrum, severity positive",8.5
88,P1_pre_pandemic,"node, social network, framing, energy, network approach",7.0
88,P2_pandemic_transition,"neural network, node, helpseeking, network approach, edge",7.0
88,P3_post_pandemic,"node, network structure, bridge, ela, bodily",15.5
88,P4_recent,"negative state, paranoid, rejection sensitivity, rejection, comorbid anxiety",15.0
89,P1_pre_pandemic,"bully, bullying, bully victimization, workplace, peer bully",12.0
89,P2_pandemic_transition,"bully, bully victimization, bullying, chr, cyberbullying",11.5
89,P3_post_pandemic,"bully, bullying, bully victimization, cyber bully, skin",15.5
89,P4_recent,"bully, sz, bp, pfdr, hc",8.0
90,P1_pre_pandemic,"gut, ibs, axis, bowel, bowel syndrome",9.0
90,P2_pandemic_transition,"gut, microbiome, axis, visceral, ibs",14.5
90,P3_post_pandemic,"gut, microbiome, composition, axis, mouse",13.0
90,P4_recent,"ibs, hypersensitivity, sn, visceral, sympathetic",8.5
91,P1_pre_pandemic,"workplace, nurse, healthcare, staff, worker",8.0
91,P2_pandemic_transition,"nurse, workplace, burnout, healthcare, worker",8.5
91,P3_post_pandemic,"workplace, nurse, healthcare, healthcare worker, worker",15.5
91,P4_recent,"nurse, negative cop, shift, workplace, univariate",11.0
92,P1_pre_pandemic,"genetic, polymorphism, gene, geneenvironment, maoa",16.0
92,P2_pandemic_transition,"genetic, gene, val, polymorphism, genotype",17.5
92,P3_post_pandemic,"genetic, polygenic, polymorphism, genotype, gene",8.0
92,P4_recent,"genetic, environmental, gene, genotype, genetic environmental",10.0
93,P1_pre_pandemic,"ocd, obsessivecompulsive, obsessive compulsive, obsessive, compulsive",15.0
93,P2_pandemic_transition,"ocd, obsessivecompulsive, oxtr, thalamic, obsessive compulsive",8.5
93,P3_post_pandemic,"ocd, obsessivecompulsive, obsessive, obsessive compulsive, compulsive",15.5
93,P4_recent,"ocd, contamination, obsessivecompulsive, sle, sad",6.5
94,P1_pre_pandemic,"reward, biological, processing, affective anxiety, externalize",2.0
94,P2_pandemic_transition,"reward, decisionmaking, striatum, task, reward sensitivity",17.0
94,P3_post_pandemic,"reward, reward sensitivity, task, neural, monetary",15.0
94,P4_recent,"sensory, sensory processing, processing, sensory process, chart",4.5
95,P1_pre_pandemic,"sibling, ssa, chronic disease, cac, incest",5.0
95,P2_pandemic_transition,"sibling, ssa, incest, intrafamilial, disclosure",11.5
95,P3_post_pandemic,"sibling, ssa, incest, closeness, victimperpetrator relationship",12.0
95,P4_recent,"sibling, incest, twin, ssa, strain",11.0
96,P1_pre_pandemic,"addiction, internet, internet addiction, smartphone, game",6.0
96,P2_pandemic_transition,"addiction, internet addiction, internet, smartphone, ia",6.0
96,P3_post_pandemic,"addiction, internet addiction, internet, game, smartphone",14.5
96,P4_recent,"addiction, internet addiction, internet, dysregulation depression, game",13.0
97,P1_pre_pandemic,"cop strategy, cop style, style, coping, religious",16.0
97,P2_pandemic_transition,"cop strategy, cop style, symptomology, religious, style",8.5
97,P3_post_pandemic,"cop style, cop strategy, religious, style, trainee",9.0
97,P4_recent,"cop style, cop strategy, style, medication, shame",11.0
98,P1_pre_pandemic,"vaccination, infection, acquire, genital, rash",7.0
98,P2_pandemic_transition,"genital, infection, lesion, rare, transmission",13.0
98,P3_post_pandemic,"infection, genital, lesion, sti, rectal",10.0
98,P4_recent,"infection, genital, yearold, lesion, vaginal",15.0
99,P1_pre_pandemic,"adhd, hyperactivity, deficit hyperactivity, attentiondeficit, hyperactivity adhd",9.0
99,P2_pandemic_transition,"adhd, hyperactivity, attentiondeficit, deficit hyperactivity, attentiondeficit hyperactivity",10.5
99,P3_post_pandemic,"adhd, hyperactivity, deficit hyperactivity, hyperactivity adhd, attentiondeficit",9.5
99,P4_recent,"adhd, se, hyperactivity, attentiondeficit, attentiondeficit hyperactivity",9.0
100,P1_pre_pandemic,"medium, social medium, metoo, sentiment, cyberbullying",3.5
100,P2_pandemic_transition,"medium, social medium, coverage, metoo, news",10.0
100,P3_post_pandemic,"medium, social medium, metoo, news, nonprofit",10.5
100,P4_recent,"medium, taboo, news, social medium, discourse",9.5
101,P1_pre_pandemic,"job, overprotection, paternal, parental overprotection, parental care",7.0
101,P2_pandemic_transition,"pa, alienation, parental education, divorce, parental marital",13.0
101,P3_post_pandemic,"divorce, parental divorce, selfefficacy, pt, competence",8.5
101,P4_recent,"stranger, danger, teach, independence, balance",8.5
102,P1_pre_pandemic,"deprivation, ela, threat deprivation, deprivationrelated, pubertal",6.0
102,P2_pandemic_transition,"deprivation, threat deprivation, deprivation threat, reproductive strategy, dimensional",8.0
102,P3_post_pandemic,"deprivation, threat deprivation, anticipation, confusion, identity",11.5
102,P4_recent,"deprivation, material deprivation, worry, depression link, complete semistructured",10.5
103,P1_pre_pandemic,"racial, african american, black, american, african",10.0
103,P2_pandemic_transition,"racial, black, racial discrimination, discrimination, american",10.0
103,P3_post_pandemic,"black, racial, white, discrimination, black white",10.0
103,P4_recent,"black, racial, race, native, white",7.5
104,P1_pre_pandemic,"ci ci, mortality, hr ci, migraine, hr",10.0
104,P2_pandemic_transition,"hr ci, hr, medicaid, ci ci, apr ci",12.0
104,P3_post_pandemic,"hr ci, hr, schoolchildren, healthcare utilization, bereavement",9.0
104,P4_recent,"intercourse, discontinuation, hr ci, hr, ci ci",9.0
